""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_8106"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8107"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8108"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8109"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8110"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8111"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8112"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8113"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8114"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Syntrophaceae [F]"
"OTU_8115"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8116"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfobulbaceae [F]"
"OTU_8117"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8118"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8119"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8120"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8121"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae [F]"
"OTU_8122"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8123"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8124"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_8125"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8126"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8127"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_8128"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_8129"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"OTU_8130"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_8131"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales [O]"	"Bacteroidales [O]"
"OTU_8132"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_8133"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_8134"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"OTU_8135"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8136"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidia [C]"	"Bacteroidia [C]"	"Bacteroidia [C]"
"OTU_8137"	"Bacteria"	"Candidatus Saccharibacteria"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"	"Candidatus Saccharibacteria [P]"
"OTU_8138"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_8139"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_8140"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_8141"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_8142"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_8143"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8144"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8145"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8146"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8147"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8148"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8149"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8150"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	"Syntrophobacteraceae [F]"
"OTU_8151"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacterales [O]"	"Syntrophobacterales [O]"
"OTU_8152"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8153"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8154"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_8155"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8156"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8157"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8158"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8159"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8160"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8161"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8162"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8163"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8164"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales [O]"	"Actinomycetales [O]"
"OTU_8165"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8166"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8167"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_8168"	"Bacteria"	"Actinobacteria"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"
"OTU_8169"	"Bacteria"	"Firmicutes"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"
"OTU_8170"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales [O]"	"Actinomycetales [O]"
"OTU_8171"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_8172"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales [O]"	"Clostridiales [O]"
"OTU_8173"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8174"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8175"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinobacteria [C]"	"Actinobacteria [C]"	"Actinobacteria [C]"
"OTU_8176"	"Bacteria"	"Actinobacteria"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"
"OTU_8177"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8178"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8179"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales [O]"	"Actinomycetales [O]"
"OTU_8180"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Nannocystaceae"	"Nannocystis"
"OTU_8181"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8182"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinobacteria [C]"	"Actinobacteria [C]"	"Actinobacteria [C]"
"OTU_8183"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8184"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8185"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8186"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8187"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8188"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales [O]"	"Actinomycetales [O]"
"OTU_8189"	"Bacteria"	"Firmicutes"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"
"OTU_8190"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8191"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"
"OTU_8192"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8193"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrionaceae [F]"
"OTU_8194"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8195"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8196"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8197"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8198"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8199"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8200"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8201"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillales [O]"	"Rhodospirillales [O]"
"OTU_8202"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacteraceae [F]"
"OTU_8203"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8204"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8205"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8206"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8207"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8208"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8209"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8210"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8211"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8212"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8213"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8214"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8215"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8216"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_8217"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8218"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8219"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8220"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8221"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8222"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8223"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales [O]"	"Actinomycetales [O]"
"OTU_8224"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8225"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_8226"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8227"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8228"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8229"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8230"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8231"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8232"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8233"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8234"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_8235"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_8236"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8237"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8238"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8239"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"
"OTU_8240"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"
"OTU_8241"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8242"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8243"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8244"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8245"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8246"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8247"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8248"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Aquicella"
"OTU_8249"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Aquicella"
"OTU_8250"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Aquicella"
"OTU_8251"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8252"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8253"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8254"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8255"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8256"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8257"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8258"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8259"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8260"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"
"OTU_8261"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_8262"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8263"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8264"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8265"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8266"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8267"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8268"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8269"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8270"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8271"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8272"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8273"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8274"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_8275"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8276"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8277"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_8278"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8279"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8280"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8281"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8282"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8283"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_8284"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Negativicutes [C]"	"Negativicutes [C]"	"Negativicutes [C]"
"OTU_8285"	"Bacteria"	"Firmicutes"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"
"OTU_8286"	"Bacteria"	"Firmicutes"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"	"Firmicutes [P]"
"OTU_8287"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonellaceae [F]"
"OTU_8288"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
